location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
8160,"Ulaanbaatar","pm25",159.4,"µg/m³","2016-11-11T14:00:00Z","2016-11-11T22:00:00+08:00","Asia/Ulaanbaatar",47.928385,106.92947,,,,"Unknown Governmental Organization","AirNow"
8160,"Ulaanbaatar","pm25",182.2,"µg/m³","2016-11-11T15:00:00Z","2016-11-11T23:00:00+08:00","Asia/Ulaanbaatar",47.928385,106.92947,,,,"Unknown Governmental Organization","AirNow"
8160,"Ulaanbaatar","pm25",193.6,"µg/m³","2016-11-11T16:00:00Z","2016-11-12T00:00:00+08:00","Asia/Ulaanbaatar",47.928385,106.92947,,,,"Unknown Governmental Organization","AirNow"
8160,"Ulaanbaatar","pm25",235.3,"µg/m³","2016-11-11T17:00:00Z","2016-11-12T01:00:00+08:00","Asia/Ulaanbaatar",47.928385,106.92947,,,,"Unknown Governmental Organization","AirNow"
8160,"Ulaanbaatar","pm25",249.1,"µg/m³","2016-11-11T18:00:00Z","2016-11-12T02:00:00+08:00","Asia/Ulaanbaatar",47.928385,106.92947,,,,"Unknown Governmental Organization","AirNow"
8160,"Ulaanbaatar","pm25",249.1,"µg/m³","2016-11-11T19:00:00Z","2016-11-12T03:00:00+08:00","Asia/Ulaanbaatar",47.928385,106.92947,,,,"Unknown Governmental Organization","AirNow"
8160,"Ulaanbaatar","pm25",253.5,"µg/m³","2016-11-11T20:00:00Z","2016-11-12T04:00:00+08:00","Asia/Ulaanbaatar",47.928385,106.92947,,,,"Unknown Governmental Organization","AirNow"
8160,"Ulaanbaatar","pm25",256.3,"µg/m³","2016-11-11T21:00:00Z","2016-11-12T05:00:00+08:00","Asia/Ulaanbaatar",47.928385,106.92947,,,,"Unknown Governmental Organization","AirNow"
8160,"Ulaanbaatar","pm25",257.1,"µg/m³","2016-11-11T22:00:00Z","2016-11-12T06:00:00+08:00","Asia/Ulaanbaatar",47.928385,106.92947,,,,"Unknown Governmental Organization","AirNow"
8160,"Ulaanbaatar","pm25",201.1,"µg/m³","2016-11-11T23:00:00Z","2016-11-12T07:00:00+08:00","Asia/Ulaanbaatar",47.928385,106.92947,,,,"Unknown Governmental Organization","AirNow"
