date,parameter,location,value,unit,city,attribution,coordinates,country,sourcename,sourcetype,mobile
"{utc=2015-10-03T00:45:00.000Z, local=2015-10-03T08:45:00+08:00}",pm10,Mongol gazar,25.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.903538, longitude=106.85071}",MN,Agaar.mn,,
"{utc=2015-10-03T00:45:00.000Z, local=2015-10-03T08:45:00+08:00}",pm25,Baruun 4 zam,16.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.915382, longitude=106.894196}",MN,Agaar.mn,,
"{utc=2015-10-03T01:00:00.000Z, local=2015-10-03T09:00:00+08:00}",pm10,Tolgoit,156.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.922497, longitude=106.79481}",MN,Agaar.mn,,
"{utc=2015-10-03T00:45:00.000Z, local=2015-10-03T08:45:00+08:00}",pm25,Bukhiin urguu,39.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.917606, longitude=106.93736}",MN,Agaar.mn,,
"{utc=2015-10-03T01:00:00.000Z, local=2015-10-03T09:00:00+08:00}",pm10,MNB,132.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.929733, longitude=106.888626}",MN,Agaar.mn,,
"{utc=2015-10-03T01:00:00.000Z, local=2015-10-03T09:00:00+08:00}",pm10,Bukhiin urguu,71.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.917606, longitude=106.93736}",MN,Agaar.mn,,
"{utc=2015-10-03T01:00:00.000Z, local=2015-10-03T09:00:00+08:00}",pm10,Mongol gazar,25.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.903538, longitude=106.85071}",MN,Agaar.mn,,
"{utc=2015-10-03T00:45:00.000Z, local=2015-10-03T08:45:00+08:00}",pm10,Misheel expo,36.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.89434, longitude=106.88247}",MN,Agaar.mn,,
"{utc=2015-10-03T01:00:00.000Z, local=2015-10-03T09:00:00+08:00}",pm25,Amgalan,39.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.91343, longitude=106.99791}",MN,Agaar.mn,,
"{utc=2015-10-03T01:00:00.000Z, local=2015-10-03T09:00:00+08:00}",pm25,Baruun 4 zam,15.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.915382, longitude=106.894196}",MN,Agaar.mn,,
"{utc=2015-10-03T01:00:00.000Z, local=2015-10-03T09:00:00+08:00}",pm10,Misheel expo,37.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.89434, longitude=106.88247}",MN,Agaar.mn,,
"{utc=2015-10-03T01:00:00.000Z, local=2015-10-03T09:00:00+08:00}",pm10,Baruun 4 zam,63.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.915382, longitude=106.894196}",MN,Agaar.mn,,
"{utc=2015-10-03T01:00:00.000Z, local=2015-10-03T09:00:00+08:00}",pm10,100 ail,46.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.932907, longitude=106.92139}",MN,Agaar.mn,,
"{utc=2015-10-03T01:00:00.000Z, local=2015-10-03T09:00:00+08:00}",pm25,Tolgoit,87.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.922497, longitude=106.79481}",MN,Agaar.mn,,
"{utc=2015-10-03T01:00:00.000Z, local=2015-10-03T09:00:00+08:00}",pm10,Amgalan,71.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.91343, longitude=106.99791}",MN,Agaar.mn,,
"{utc=2015-10-03T01:15:00.000Z, local=2015-10-03T09:15:00+08:00}",pm10,Misheel expo,48.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.89434, longitude=106.88247}",MN,Agaar.mn,,
"{utc=2015-10-03T01:15:00.000Z, local=2015-10-03T09:15:00+08:00}",pm10,100 ail,80.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.932907, longitude=106.92139}",MN,Agaar.mn,,
"{utc=2015-10-03T01:00:00.000Z, local=2015-10-03T09:00:00+08:00}",pm25,MNB,88.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.929733, longitude=106.888626}",MN,Agaar.mn,,
"{utc=2015-10-03T01:15:00.000Z, local=2015-10-03T09:15:00+08:00}",pm25,Bukhiin urguu,52.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.917606, longitude=106.93736}",MN,Agaar.mn,,
"{utc=2015-10-03T01:15:00.000Z, local=2015-10-03T09:15:00+08:00}",pm10,Baruun 4 zam,57.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.915382, longitude=106.894196}",MN,Agaar.mn,,
"{utc=2015-10-03T01:00:00.000Z, local=2015-10-03T09:00:00+08:00}",pm25,Bukhiin urguu,39.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.917606, longitude=106.93736}",MN,Agaar.mn,,
"{utc=2015-10-03T01:30:00.000Z, local=2015-10-03T09:30:00+08:00}",pm25,Tolgoit,70.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.922497, longitude=106.79481}",MN,Agaar.mn,,
"{utc=2015-10-03T01:30:00.000Z, local=2015-10-03T09:30:00+08:00}",pm10,Tolgoit,195.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.922497, longitude=106.79481}",MN,Agaar.mn,,
"{utc=2015-10-03T01:15:00.000Z, local=2015-10-03T09:15:00+08:00}",pm10,Bukhiin urguu,75.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.917606, longitude=106.93736}",MN,Agaar.mn,,
"{utc=2015-10-03T01:15:00.000Z, local=2015-10-03T09:15:00+08:00}",pm10,Mongol gazar,27.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.903538, longitude=106.85071}",MN,Agaar.mn,,
"{utc=2015-10-03T01:30:00.000Z, local=2015-10-03T09:30:00+08:00}",pm25,Baruun 4 zam,10.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.915382, longitude=106.894196}",MN,Agaar.mn,,
"{utc=2015-10-03T01:30:00.000Z, local=2015-10-03T09:30:00+08:00}",pm25,MNB,77.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.929733, longitude=106.888626}",MN,Agaar.mn,,
"{utc=2015-10-03T01:30:00.000Z, local=2015-10-03T09:30:00+08:00}",pm25,Bukhiin urguu,52.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.917606, longitude=106.93736}",MN,Agaar.mn,,
"{utc=2015-10-03T01:15:00.000Z, local=2015-10-03T09:15:00+08:00}",pm25,Baruun 4 zam,10.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.915382, longitude=106.894196}",MN,Agaar.mn,,
"{utc=2015-10-03T01:30:00.000Z, local=2015-10-03T09:30:00+08:00}",pm10,Amgalan,92.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.91343, longitude=106.99791}",MN,Agaar.mn,,
"{utc=2015-10-03T01:30:00.000Z, local=2015-10-03T09:30:00+08:00}",pm10,Misheel expo,48.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.89434, longitude=106.88247}",MN,Agaar.mn,,
"{utc=2015-10-03T01:30:00.000Z, local=2015-10-03T09:30:00+08:00}",pm10,Nisekh,95.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.86394, longitude=106.77909}",MN,Agaar.mn,,
"{utc=2015-10-03T01:30:00.000Z, local=2015-10-03T09:30:00+08:00}",pm25,Nisekh,54.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.86394, longitude=106.77909}",MN,Agaar.mn,,
"{utc=2015-10-03T01:30:00.000Z, local=2015-10-03T09:30:00+08:00}",pm10,Bukhiin urguu,78.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.917606, longitude=106.93736}",MN,Agaar.mn,,
"{utc=2015-10-03T01:30:00.000Z, local=2015-10-03T09:30:00+08:00}",pm10,Mongol gazar,27.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.903538, longitude=106.85071}",MN,Agaar.mn,,
"{utc=2015-10-03T01:30:00.000Z, local=2015-10-03T09:30:00+08:00}",pm10,MNB,116.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.929733, longitude=106.888626}",MN,Agaar.mn,,
